gid_B73	fam	fam_size	fam_idx	note1	note2	n_mu	mid	sids	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL_fc	eQTL_n	eQTL_grp_size	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d049800	BBR-BPC	4	4	BBR/BPC-transcription factor 3	Protein BASIC PENTACYSTEINE1	2	mu1007963|mu1019417	UFMu-00382|UFMu-01166	Zm00004b021074	One-to-One	no_change		FALSE	0							33.6	11	16.8	8	14.7	13.6	30.7	12.1	12.5	15.1	15.3	15.3	30.7
Zm00001d050310	HD-ZIP	60	57	Homeobox-transcription factor 7	Homeodomain leucine zipper protein CPHB-5; Putative homeobox DNA-binding and leucine zipper domain family protein	2	mu1003924|mu1014983	UFMu-00142|UFMu-01382	Zm00004b021475	One-to-One	moderate	missense_variant	FALSE	0							48.3	7.1	68.7	55.9	71.1	66.4	53	18.4	43.1	46.7	69	61.1	69
Zm00001d050410	NAC	126	117	NAC-transcription factor 37	Putative NAC domain transcription factor superfamily protein	1	mu1086491	UFMu-10697	Zm00004b021545	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d050551	C2H2	132	126	""	ubiquitin-associated (UBA)/TS-N domain-containing protein	1	mu1075485	UFMu-05618	Zm00004b021696	One-to-One	moderate	missense_variant	FALSE	0							98.6	46.3	80.2	42.5	64.4	42.9	80.1	52.2	59.3	47.1	67.3	47	80.1
Zm00001d051018	DBB	14	14	double B-box zinc finger protein4	B-box zinc finger protein 24	1	mu1083446	UFMu-10036	Zm00004b021994	One-to-One	moderate	missense_variant	FALSE	1	1	acti	5.777310924369748	1	5	wang2018	0.8	0.1	26.3	20.3	4.8	35	2.5	0.4	69.2	33.8	20.1	44.4	69.2
Zm00001d051172	ARF	36	35	ARF-transcription factor 15	Auxin response factor 16	4	mu1067124|mu1070281|mu1083449|mu1083451	UFMu-08489|UFMu-02510|UFMu-10188|UFMu-10018	Zm00004b022107	One-to-One	moderate	missense_variant	FALSE	0							12.7	0.3	4.9	16.2	18.1	28.1	5.3	0.7	3.4	13.5	9.7	12	9.7
Zm00001d051316	Trihelix	46	43	Trihelix-transcription factor 16	Putative homeodomain-like transcription factor superfamily protein isoform 1; Putative homeodomain-like transcription factor superfamily protein isoform 2	1	mu1038477	UFMu-02888	Zm00004b022205	One-to-One	moderate	conservative_inframe_deletion	FALSE	1	1	acti					19	39.2	0.7	1.5	5.2	14	39.2	49.7	0.7	2.5	5.6	15.5	5.6
Zm00001d051387	GRAS	81	76	GRAS-transcription factor 80	Scarecrow-like protein 6	3	mu1026531|mu1084804|mu1094781	UFMu-08323|UFMu-10411|UFMu-13871	Zm00004b022266	One-to-One	no_change		FALSE	0							13.7	4.5	9.1	10.9	14.2	12.8	13.5	6.7	4.5	15.1	15.2	13.9	6.7
Zm00001d051458	MYB_related	109	108	methyl erythritol cyclodiphosphate synthase1	methyl erythritol cyclodiphosphate synthase1	1	mu1047994	UFMu-06254	Zm00004b022325,Zm00004b022326	Many-to-One	high	stop_gained	FALSE	0							32.7	15.8	106.6	65.2	37	78.9	46	31.8	71.9	83.6	44.6	97.9	97.9
Zm00001d051573	ZF-HD	21	20	ZF-HD-transcription factor 17	Putative homeobox DNA-binding domain superfamily protein	2	mu1007280|mu1048005	UFMu-00461|UFMu-06385	Zm00004b022441	One-to-One	moderate	missense_variant	FALSE	0							13.7	0	0	0.6	0.4	2.1	14.6	0.1	0	0.6	0.1	2.3	2.3
Zm00001d051749	HD-ZIP	60	59	Homeobox-transcription factor 115	Putative homeobox DNA-binding and leucine zipper domain family protein isoform 1; Putative homeobox DNA-binding and leucine zipper domain family protein isoform 2	2	mu1048017|mu1091100	UFMu-06498|UFMu-11332	Zm00004b022589	One-to-One	moderate	missense_variant	FALSE	0							12.3	0.5	123.9	34.2	50.1	66.1	1.2	3.7	52	12.9	32.5	10.5	52
Zm00001d051879	NAC	126	123	NAC-transcription factor 26	NAC domain containing protein 71	1	mu1022354	UFMu-01886,UFMu-06936	Zm00004b022707	One-to-One	low	synonymous_variant	FALSE	0							64.5	40.9	118.4	69.6	94.7	59.9	52.6	30.7	73.3	77.8	95.1	57.8	95.1
Zm00001d052229	ERF	177	173	AP2-EREBP-transcription factor 17	Ethylene-responsive transcription factor ERF056	2	mu1077297|mu1083505	UFMu-09399|UFMu-10403	Zm00004b023012	One-to-One	no_change		FALSE	6	1	acti					1.7	14.1	198.5	84.1	185.7	83.1	2.5	13.1	520.2	92.1	263	118.1	92.1
Zm00001d052288	E2F/DP	19	19	E2F-DP-transcription factor 213	E2F transcription factor-like E2FE	1	mu1086360	UFMu-11121	Zm00004b023063	One-to-One	modifier	intron_variant	FALSE	286	1	acti					40.9	0.1	0.1	0	11.5	13.4	21	0.2	0.1	0	9.6	8.1	9.6
Zm00001d052365	ERF	177	174	AP2-EREBP-transcription factor 155	Putative AP2/EREBP transcription factor superfamily protein	3	mu1008126|mu1014769|mu1018993	UFMu-00148|UFMu-01251|UFMu-00948	Zm00004b023135	One-to-One	moderate	missense_variant	FALSE	0							0.5	0.1	0.1	0.1	0.2	0.1	0.5	0.3	0	0.1	0.1	0.1	0.5
Zm00001d052380	GRAS	81	78	scarecrow1	scarecrow1	3	mu1038565|mu1073320|mu1086364	UFMu-03744,UFMu-04921,UFMu-06167|UFMu-03349|UFMu-10570,UFMu-12278	Zm00004b023151	One-to-One	moderate	conservative_inframe_insertion	FALSE	34	1	acti					36.5	1.9	9.6	9.4	19.2	51.5	24.8	1.2	6.3	7.1	14.5	31	7.1
Zm00001d052431	GATA	36	35	C2C2-GATA-transcription factor 30	Putative GATA transcription factor family protein	1	mu1091181	UFMu-11353	Zm00004b023195	One-to-One	high	stop_gained	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d052463	GRAS	81	79	GRAS-transcription factor 24	Scarecrow-like protein 3	1	mu1070295	UFMu-02835	Zm00004b023224	One-to-One	high	frameshift_variant	FALSE	0							0.2	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d052725	bZIP	128	122	bZIP-transcription factor 43	Putative bZIP transcription factor superfamily protein	1	mu1009212	UFMu-00416,UFMu-02628,UFMu-05566,UFMu-07927	Zm00004b023417	One-to-One	modifier	intron_variant	FALSE	0							16.5	41.4	13.8	4.7	16.2	9.2	19.9	60.5	17.1	12.8	16	9.7	9.7
Zm00001d052738	HSF	29	29	HSF-transcription factor 7	Heat stress transcription factor B-2b	3	mu1014796|mu1045151|mu1067242	UFMu-02115|UFMu-05605|UFMu-08399	Zm00004b023430	One-to-One	moderate	disruptive_inframe_insertion	FALSE	15	1	acti					0.3	5.8	3.5	1.4	1.6	1.3	18.6	36.2	64.5	6.5	4	1.5	64.5
Zm00001d052798	Trihelix	46	44	Trihelix-transcription factor 3	Homeodomain-like superfamily protein	1	mu1045157	UFMu-05892	Zm00004b023478	One-to-One	moderate	missense_variant	FALSE	12	1	acti	10.560146923783288	1	7	li2013	7.3	4.8	1.8	4.9	7.1	8.3	7.2	6.6	6	5.4	7.1	8.1	8.1
Zm00001d052815	C2H2	132	130	""	Nucleic acid binding protein	1	mu1022993	UFMu-01949	Zm00004b023493	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d052847	WRKY	121	120	WRKY-transcription factor 87	Putative WRKY DNA-binding domain superfamily protein	3	mu1067257|mu1091216|mu1091217	UFMu-08437|UFMu-12261|UFMu-12044	Zm00004b023521	One-to-One	no_change		FALSE	0			7.391763463569166	1	8	wang2018	0.3	1.5	0.6	9.1	1.1	3.4	0.1	0.1	0.1	4.5	0.6	3.4	4.5
Zm00001d052883	C2H2	132	131	""	Zinc finger protein WIP2	1	mu1077338	UFMu-09268	Zm00004b023546	One-to-One	modifier	intron_variant	FALSE	0							0.6	0	0	0	0.2	0.9	0.3	0	0	0	0.3	0.8	0.8
Zm00001d052905	SBP	30	27	SBP-transcription factor 7	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein	2	mu1021022|mu1042058	UFMu-01365,UFMu-01951|UFMu-05312	Zm00004b023564	One-to-One	modifier	3_prime_UTR_variant	FALSE	1	1	acti					24.7	45.6	96.9	35.3	55.5	32.3	28	73.5	119.3	68.9	60.8	32.9	73.5
Zm00001d052933				JUMONJI-transcription factor 13	Transferase isoform 1; Transferase isoform 2	5	mu1017577|mu1067263|mu1071125|mu1081210|mu1086389	UFMu-00809|UFMu-08797|UFMu-02883|UFMu-09466|UFMu-10913	Zm00004b023587	One-to-One	non-syntenic	missense_variant	TRUE	0							29.7	12.1	13.2	4.6	17.1	13.6	12.4	9.2	15.4	8.8	12.2	14.5	9.2
Zm00001d053151	TALE	28	27	Homeobox-transcription factor 6	Putative POX domain/homeobox DNA-binding domain family protein	1	mu1081217	UFMu-09878,UFMu-11946,UFMu-12308	Zm00004b023797	One-to-One	low	synonymous_variant	FALSE	12	1	acti					0.1	0.9	286.5	105.9	50.6	45.7	0.1	2	185.6	45.2	68.6	47.1	68.6
Zm00001d053298	GeBP	20	20	GeBP-transcription factor 14	protein; Tyrosine specific protein phosphatase-like	1	mu1008699	UFMu-00529	Zm00004b023926	One-to-One	no_change		FALSE	1	1	acti					31	26.5	26.5	21.3	24.3	13.9	21.2	15.2	20	23.4	22.6	15.7	23.4
Zm00001d053369	WRKY	121	121	WRKY-transcription factor 8	WRKY transcription factor 22	4	mu1031274|mu1048159|mu1048160|mu1077370	UFMu-02504,UFMu-05605|UFMu-06456|UFMu-06118|UFMu-08953	Zm00004b023980	One-to-One	moderate	disruptive_inframe_insertion	FALSE	1	1	acti					11.4	0.1	3.1	2	5.9	5	9.6	0.2	2	1.2	4.4	3.7	9.6
Zm00001d053703	bZIP	128	126	bZIP-transcription factor 50	Ocs element-binding factor 1; Putative bZIP transcription factor superfamily protein	1	mu1081236	UFMu-09786	Zm00004b024217	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0							0.1	0.6	0	0	0.5	0	0	0.2	0	0.9	0.1	0.1	0.9
Zm00001d053775	SBP	30	29	SBP-transcription factor 19	Squamosa promoter-binding-like protein 2	2	mu1086420|mu1086421	UFMu-11109|UFMu-11109	Zm00004b024280	One-to-One	non-syntenic	disruptive_inframe_deletion	FALSE	0							5.6	7.3	17.7	12.3	10.7	7.4	2.3	9.2	6.7	10.2	5.8	3.7	9.2
Zm00001d053855	Whirly	2	2	WHIRLY-transcription factor 2	DNA binding protein isoform 1; DNA binding protein isoform 2	2	mu1038641|mu1048200	UFMu-04041|UFMu-06441	Zm00004b024347	One-to-One	no_change		FALSE	212	0.9842767295597484	acti					135.6	31.4	50.1	18.1	36.3	39.1	115.4	8.8	30.5	19	33.8	42.2	8.8
Zm00001d053890	SBP	30	30	SBP-transcription factor 20	Squamosa promoter-binding-like protein 2	7	mu1026073|mu1053117|mu1053118|mu1069470|mu1073970|mu1086430|mu1091327	UFMu-08095|UFMu-06712|UFMu-06712|UFMu-08640|UFMu-04720|UFMu-10892|UFMu-11256	Zm00004b024383	One-to-One	high	frameshift_variant	FALSE	0							4.3	2.6	28	6	8.6	16.1	4	1.3	17	10.6	12.1	16.2	4
Zm00001d053975	BES1	10	10	BZR-transcription factor 5	Beta-amylase 8	1	mu1071142	UFMu-02715	Zm00004b024434	One-to-One	non-syntenic	missense_variant	FALSE	1	1	acti					15.7	8	22	13.8	19.6	13.7	9.9	12.1	19.1	14.6	14.6	11.3	9.9
Zm00001d053988	bZIP	128	128	bZIP-transcription factor 84	Ocs element-binding factor 1; Putative bZIP transcription factor superfamily protein	1	mu1018103	UFMu-00826	Zm00004b024446	One-to-One	moderate	missense_variant	FALSE	0			13.779527559055119	1	8	li2013	12.6	0	19.2	1.1	3.2	12.2	16.3	0.1	7.3	2.7	5.8	6.1	7.3
Zm00001d054080	Trihelix	46	46	Trihelix-transcription factor 21	Trihelix transcription factor GTL2	6	mu1039108|mu1048231|mu1071147|mu1071252|mu1086447|mu1094876	UFMu-03703|UFMu-06404|UFMu-02550|UFMu-02888|UFMu-10863|UFMu-13419	Zm00004b024512	One-to-One	moderate	missense_variant	FALSE	14	1	acti					22.2	0.1	0.2	18.3	5.6	17.1	36.3	0.1	0.2	16.3	5.6	15.3	5.6
